Numero de plato,Comida,Cena,Lista ingredientes,Enlace,Para
1,"Sopa de cocido + Filete de lomo","Sándwich mixto con huevo","Comida (fideos - caldo de cocido - zanahoria - patata - garbanzos - pollo - jamón - sal - filete de lomo) # Cena (pan de molde - jamón york - queso en lonchas - huevo - mantequilla)","https://www.recetasderechupete.com/sopa-de-cocido/2466/","Eme - Cris"
2,"Garbanzos con pisto","Wrap de pollo","Comida (garbanzos cocidos - tomate triturado - pimiento - cebolla - aceite de oliva - sal) # Cena (tortillas de trigo - pechuga de pollo - lechuga - tomate - salsa)","https://www.recetasderechupete.com/garbanzos-con-pisto/17469/","Eme - Cris"
3,"Canelones","Ensalada de pimientos","Comida (placas de canelones - carne picada - tomate frito - bechamel - queso rallado) # Cena (espirales de macarrón - pimientos asados - queso de cabra - aceite de oliva - sal)","https://www.recetasderechupete.com/canelones-de-carne/1589/","Eme - Cris"
4,"Crema de calabaza","Sándwich de lacón con queso","Comida (calabaza - patata - cebolla - zanahoria - aceite de oliva - sal) # Cena (pan de molde - lacón - queso en lonchas - mantequilla)","https://www.recetasderechupete.com/crema-de-calabaza/2395/","Eme - Cris"
5,"Longanizas a la cerveza con patatas","Brochetas de pollo con pimientos y cebolla","Comida (longaniza - cerveza - patata - cebolla - aceite de oliva - sal) # Cena (pechuga de pollo - pimiento - cebolla - aceite de oliva - sal)","https://www.recetasderechupete.com/longaniza-a-la-cerveza/17136/","Eme - Cris"
6,"Ensalada de pasta","Tortilla de atún","Comida (espirales de macarrón - nueces - aceite de Módena - pasas - pavo - queso en dados) # Cena (huevo - atún en conserva - patata - cebolla - aceite de oliva - sal)","https://www.recetasderechupete.com/ensalada-de-pasta/1504/","Eme - Cris"
7,"Calamares","Pizza Acueducto","Comida (calamares - harina - aceite de oliva - sal) # Cena (masa pizza - tomate - mozzarella - queso de cabra - bacon - cebolla caramelizada)","https://www.recetasderechupete.com/calamares-a-la-romana/1778/","Eme - Cris"
8,"Vichissoi","Hamburguesa Acueducto","Comida (puerros - patata - nata para cocinar - mantequilla - sal) # Cena (hamburguesa de ternera - pan de hamburguesa - tomate - mozzarella - queso de cabra - bacon - cebolla caramelizada)","https://www.recetasderechupete.com/vichyssoise/1236/","Eme - Cris"
9,"Macarrones Carbonara","Empanadas de carne","Comida (macarrones - bacon - huevo - nata para cocinar - queso rallado) # Cena (cebolla - zanahoria - patata - pimiento verde - carne de ternera picada - sal - pimienta - tomillo - obleas para empanadillas - huevo)","https://www.recetasderechupete.com/macarrones-a-la-carbonara/987/","Eme - Cris"
10,"Costillas de cerdo al horno con patatas","Fajitas de pollo","Comida (costillas de cerdo - patata - ajo - aceite de oliva - sal) # Cena (tortillas de trigo - pollo - pimiento - cebolla - especias fajitas)","https://www.recetasderechupete.com/costillas-al-horno/2382/","Eme - Cris"
11,"Cerdo guisado","Empanadas de pollo al curry","Comida (carne de cerdo - patata - zanahoria - cebolla - ajo - aceite de oliva - sal) # Cena (cebolla - zanahoria - patata - pollo desmenuzado - curry - obleas para empanadillas - huevo)","https://www.recetasderechupete.com/guiso-de-cerdo/13273/","Eme - Cris"
12,"Espaguettis con calabacín","Longaniza con pimientos y cebolla","Comida (espaguetis - calabacín - ajo - aceite de oliva - sal) # Cena (longaniza - pimiento - cebolla - aceite de oliva - sal)","https://www.recetasderechupete.com/espaguetis-con-calabacin/14825/","Eme - Cris"
13,"Pollo con tomate (Monsieur Cuisine)","Tortilla española (Lekue)","Comida (pollo - tomate triturado - cebolla - aceite de oliva - sal) # Cena (huevo - patata - cebolla - aceite de oliva - sal)","https://www.youtube.com/watch?v=CqGonsv0uyI","Eme - Cris"
14,"Pasta con pimientos","Fajitas de ternera","Comida (espirales de pasta - pimientos asados - queso de cabra - aceite de oliva - sal) # Cena (tortillas de trigo - ternera - pimiento - cebolla - especias fajitas)","https://www.recetasderechupete.com/pasta-con-pimientos-asados/15047/","Eme - Cris"
